Data,Cidade,Unidade Hospitalar,Total Leitos Adulto Clínico, Total Leitos Adulto Clínico Ocupados,Total Leitos Adulto Clínico Livre,Total Leitos Adulto UTI,Total Leitos Adulto UTI Ocupados,Total Leitos Adulto UTI Livre,Total Leitos Pediatrico Clinico,Total Leitos Pediatrico Clinico Ocupados,Total Leitos Pediatrico Clinico Livre,Total Leitos Pediatrico UTI,Total Leitos Pediatrico UTI Ocupados,Total Leitos Pediatrico UTI Livre
04/08/2020 07:47:28,Porto Velho,Assistência Médica Intensiva – AMI,0,0,0,35,15,0,0,0,0,0,0,0,
04/08/2020 08:06:12,Porto Velho,Hospital Santa Marcelina,20,14,6,0,0,0,0,0,0,0,0,0,
04/08/2020 08:11:01,Buritis,Hospital Regional de Buritis – HRB,12,6,6,0,0,0,0,0,0,0,0,0,
04/08/2020 08:56:41,Porto Velho,Hospital do Amor,49,37,12,12,7,0,0,0,0,0,0,0,
04/08/2020 08:58:22,Ji-Paraná,Hospital Cândido Rondon Ji-Paraná - HCR,15,8,7,6,5,0,0,0,0,0,0,0,
04/08/2020 09:00:59,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,4,1,3,2,1,0,0,0,0,0,0,0,
04/08/2020 09:15:36,Porto Velho,Hospital Regional de Extrema - HRE,5,1,4,0,0,0,0,0,0,0,0,0,
04/08/2020 09:25:47,Porto Velho,Cemetron,60,34,26,19,16,0,0,0,0,0,0,0,
04/08/2020 09:42:40,Porto Velho,Samar,50,28,22,20,15,0,0,0,0,0,0,0,
04/08/2020 10:28:04,Porto Velho,Hospital de Campanha,30,20,10,20,14,0,0,0,0,0,0,0,
04/08/2020 10:51:43,Cacoal,Hospital Regional de Cacoal – HRC,20,14,6,28,28,1,3,0,3,1,0,1,
04/08/2020 11:04:51,Porto Velho,Hospital de Base Dr. Ary Pinheiro – HB,63,31,32,10,5,2,0,0,0,2,0,2,
05/08/2020 06:53:50,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,4,3,1,2,1,0,0,0,0,0,0,0,
05/08/2020 07:21:57,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,14,14,0,8,3,0,0,0,0,0,0,0,
05/08/2020 07:51:19,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,1,8,1,0,0,0,0,0,0,0,0,
05/08/2020 08:16:18,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,35,13,0,0,0,0,0,0,0,
05/08/2020 08:46:22,Porto Velho,Samar,50,27,23,20,13,0,0,0,0,0,0,0,
05/08/2020 08:51:47,Buritis,Hospital Regional de Buritis - HRB,12,3,9,0,0,0,0,0,0,0,0,0,
05/08/2020 08:51:47,Porto Velho,Hospital Regional de Extrema - HRE,5,2,3,0,0,0,0,0,0,0,0,0,
05/08/2020 08:54:44,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,6,18,5,13,7,1,6,
05/08/2020 09:03:48,Ji-Paraná,Hospital Cândido Rondon Ji-Paraná - HCR,15,4,11,6,6,0,0,0,0,0,0,0,
05/08/2020 09:50:47,Porto Velho,Hospital do Amor,49,30,19,12,7,0,0,0,0,0,0,0,
05/08/2020 09:56:59,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,63,25,38,10,8,2,0,0,0,2,0,2,
05/08/2020 10:38:30,Cacoal,Hospital Regional de Cacoal - HRC,20,11,9,28,28,1,3,0,3,1,0,1,
05/08/2020 10:42:04,Porto Velho,Cemetron,60,32,28,19,19,0,0,0,0,0,0,0,
05/08/2020 10:59:32,Porto Velho,Hospital de Campanha,30,23,7,20,14,0,0,0,0,0,0,0,
05/08/2020 11:18:45,Porto Velho,Hospital Santa Marcelina,20,15,5,0,0,0,0,0,0,0,0,0,
05/08/2020 11:52:16,Porto Velho,Hospital de Campanha - Zona Leste,0,0,0,10,3,0,0,0,0,0,0,0,
05/08/2020 10:05:45,Jaru,Centro de Atendimento ao Covid 19 - Jaru,8,4,4,0,0,0,0,0,0,0,0,0,
05/08/2020 10:08:27,Jaru,Hospital Municipal Sandoval de Araujo Dantas - Jaru,9,2,7,5,0,0,0,0,0,0,0,0,
05/08/2020 10:22:48,Ariquemes,Centro de Afecções Respiratórias - Ariquemes,14,11,3,18,8,0,2,0,2,0,0,0,
05/08/2020 10:59:28,Ji-Paraná,Hospital Municipal de Ji-Paraná,36,28,8,0,0,0,2,0,2,0,0,0,
05/08/2020 12:15:58,Vilhena,Hospital Municipal Adamastor Teixeira de Oliveira - Vilhena,20,10,10,10,6,0,0,0,0,0,0,0,
06/08/2020 07:31:30,Porto Velho,Hospital Santa Marcelina,20,13,7,0,0,0,0,0,0,0,0,0,
06/08/2020 07:36:01,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,14,14,0,8,3,0,0,0,0,0,0,0,
06/08/2020 07:50:17,Porto Velho,Hospital Infantil Cosme e Damião – HICD,0,0,0,0,0,6,18,4,14,7,1,6,
06/08/2020 08:30:48,Ji-Paraná,Hospital Cândido Rondon Ji-Paraná - HCR,15,4,11,6,6,0,0,0,0,0,0,0,
06/08/2020 09:00:51,Porto Velho,Hospital de Campanha,30,25,5,20,14,0,0,0,0,0,0,0,
06/08/2020 09:04:47,Buritis,Hospital Regional de Buritis – HRB,12,2,10,0,0,0,0,0,0,0,0,0,
06/08/2020 09:06:12,Porto Velho,Hospital Regional de Extrema - HRE,5,4,1,0,0,0,0,0,0,0,0,0,
06/08/2020 09:19:19,Porto Velho,Samar,50,26,24,20,16,0,0,0,0,0,0,0,
06/08/2020 09:19:24,Porto Velho,Hospital de Campanha Zona Leste,0,0,0,10,3,0,0,0,0,0,0,0,
06/08/2020 09:40:21,Porto Velho,Hospital do Amor,49,29,20,12,6,0,0,0,0,0,0,0,
06/08/2020 09:50:03,Porto Velho,Cemetron,60,39,21,19,18,0,0,0,0,0,0,0,
06/08/2020 09:57:19,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,1,8,1,0,0,0,0,0,0,0,0,
06/08/2020 10:50:08,Porto Velho,Assistência Médica Intensiva – AMI,0,0,0,35,12,0,0,0,0,0,0,0,
06/08/2020 11:07:15,Cacoal,Hospital Regional de Cacoal – HRC,20,7,13,28,26,1,3,1,2,1,0,1,
06/08/2020 11:19:59,Porto Velho,Hospital de Base Dr. Ary Pinheiro – HB,63,27,36,10,10,1,0,0,0,2,1,1,
06/08/2020 11:48:17,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,4,3,1,2,1,0,0,0,0,0,0,0,
06/08/2020 08:09:24,Vilhena,Hospital Adamastor Teixeira Oliveira,20,10,10,10,5,0,0,0,0,0,0,0,
06/08/2020 10:03:45,Jaru,Hospital Municipal Sandoval de Araujo Dantas Jaru,9,0,9,5,1,0,0,0,0,0,0,0,
06/08/2020 10:09:45,Jaru,Centro de Atendimento ao Covid-19 Jaru,8,4,4,0,0,0,0,0,0,0,0,0,
06/08/2020 10:13:31,Ji-Paraná,Hospital Municipal de Ji-Paraná,36,30,6,0,0,0,2,0,2,0,0,0,
06/08/2020 11:34:33,Ariquemes,Centro de Afecções Respiratórias - Ariquemes,14,11,3,18,7,0,2,0,2,0,0,0,
07/08/2020 07:36:04,Porto Velho,Hospital Infantil Cosme e Damião – HICD,0,0,0,0,0,5,18,6,12,7,2,5,
07/08/2020 07:47:00,Porto Velho,Assistência Médica Intensiva – AMI,0,0,0,35,11,0,0,0,0,0,0,0,
07/08/2020 08:31:06,Ji-Paraná,Hospital Cândido Rondon Ji-Paraná - HCR,15,2,13,6,6,0,0,0,0,0,0,0,
07/08/2020 09:02:18,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,14,14,0,8,3,0,0,0,0,0,0,0,
07/08/2020 09:08:46,Porto Velho,Cemetron,60,40,20,19,17,0,0,0,0,0,0,0,
07/08/2020 09:18:28,Porto Velho,Samar,50,24,26,20,19,0,0,0,0,0,0,0,
07/08/2020 09:20:10,Buritis,Hospital Regional de Buritis – HRB,12,2,10,0,0,0,0,0,0,0,0,0,
07/08/2020 09:23:55,Porto Velho,Hospital do Amor,49,32,17,12,7,0,0,0,0,0,0,0,
07/08/2020 09:45:21,Porto Velho,Hospital de Campanha Zona Leste,0,0,0,20,4,0,0,0,0,0,0,0,
07/08/2020 10:52:54,Porto Velho,Hospital de Campanha,30,24,6,20,14,0,0,0,0,0,0,0,
07/08/2020 10:58:49,Cacoal,Hospital Regional de Cacoal – HRC,20,6,14,28,26,1,3,0,3,1,0,1,
07/08/2020 11:01:19,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,1,8,1,0,0,0,0,0,0,0,0,
07/08/2020 11:08:45,Porto Velho,Hospital de Base Dr. Ary Pinheiro – HB,63,30,33,10,9,1,0,0,0,2,1,1,
07/08/2020 11:26:45,Porto Velho,Hospital Santa Marcelina,20,11,9,0,0,0,0,0,0,0,0,0,
07/08/2020 11:26:48,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,4,3,1,2,2,0,0,0,0,0,0,0,
07/08/2020 11:30:14,Porto Velho,Hospital Regional de Extrema - HRE,5,4,1,0,0,0,0,0,0,0,0,0,
07/08/2020 09:14:52,Vilhena,Hospital Adamastor Teixeira de Oliveira,20,6,14,10,5,0,0,0,0,0,0,0,
07/08/2020 09:39:05,Ariquemes,Centro de Afecções Respiratórias - Ariquemes,16,16,0,18,11,0,2,0,2,0,0,0,
07/08/2020 10:11:54,Jaru,Centro de Atendimento ao Covid-19 Jaru,8,3,5,0,0,0,0,0,0,0,0,0,
07/08/2020 10:13:53,Jaru,Hospital Municipal Sandoval de Araujo Dantas Jaru,9,0,9,5,1,0,0,0,0,0,0,0,
07/08/2020 10:20:21,Ji-Paraná,Hospital Municipal de Ji-Paraná,36,27,9,0,0,0,2,0,2,0,0,0,
08/08/2020 09:12:36,Vilhena,Hospital Adamastor Teixeira de Oliveira,20,6,14,10,5,0,0,0,0,0,0,0,
08/08/2020 09:51:46,Ji-Paraná,Hospital Municipal de Ji-Paraná,36,24,12,0,0,0,2,0,2,0,0,0,
08/08/2020 10:33:29,Jaru,Hospital Municipal Sandoval de Araujo Dantas -Jaru,9,0,9,5,1,0,0,0,0,0,0,0,
08/08/2020 10:36:15,Jaru,Centro de Atendimento ao Covid-19 Jaru,8,4,4,0,0,0,0,0,0,0,0,0,
08/08/2020 10:59:59,Ariquemes,Centro de Afecções Respiratórias - Ariquemes,15,15,0,18,11,0,2,0,2,0,0,0,
08/08/2020 07:46:56,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,14,14,0,8,2,0,0,0,0,0,0,0,
08/08/2020 08:02:19,Porto Velho,Hospital Santa Marcelina,20,9,11,0,0,0,0,0,0,0,0,0,
08/08/2020 08:12:38,Porto Velho,Hospital Infantil Cosme e Damião – HICD,0,0,0,0,0,6,18,8,10,7,1,6,
08/08/2020 08:52:59,Porto Velho,Hospital do Amor,49,33,16,12,10,0,0,0,0,0,0,0,
08/08/2020 09:02:52,Ji-Paraná,Hospital Cândido Rondon Ji-Paraná - HCR,15,2,13,6,5,0,0,0,0,0,0,0,
08/08/2020 09:05:50,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,2,7,1,0,0,0,0,0,0,0,0,
08/08/2020 09:14:27,Buritis,Hospital Regional de Buritis – HRB,12,3,9,0,0,0,0,0,0,0,0,0,
08/08/2020 09:49:19,Porto Velho,Hospital Regional de Extrema - HRE,5,3,2,0,0,0,0,0,0,0,0,0,
08/08/2020 09:56:11,Porto Velho,Hospital de Campanha Zona Leste,0,0,0,20,4,0,0,0,0,0,0,0,
08/08/2020 10:05:24,Cacoal,Hospital Regional de Cacoal – HRC,20,9,11,28,25,1,3,0,3,1,0,1,
08/08/2020 10:10:35,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,4,4,0,2,0,0,0,0,0,0,0,0,
08/08/2020 10:12:35,Porto Velho,Cemetron,60,40,20,19,17,0,0,0,0,0,0,0,
08/08/2020 10:14:11,Porto Velho,Assistência Médica Intensiva – AMI,0,0,0,35,8,0,0,0,0,0,0,0,
08/08/2020 10:35:06,Porto Velho,Hospital de Campanha,30,28,2,20,13,0,0,0,0,0,0,0,
08/08/2020 11:01:38,Porto Velho,Hospital de Base Dr. Ary Pinheiro – HB,63,35,28,10,9,1,0,0,0,2,1,1,
08/08/2020 11:41:04,Porto Velho,Samar,50,24,26,20,18,0,0,0,0,0,0,0,
09/08/2020 10:09:24,Jaru,Centro de Atendimento ao Covid-19 JARU,8,4,4,0,0,0,0,0,0,0,0,0,
09/08/2020 10:10:28,Ariquemes,Centro de Afecções Respiratórias - Ariquemes,15,15,0,18,10,0,2,0,2,0,0,0,
09/08/2020 10:11:40,Jaru,Hospital Municipal Sandoval de Araujo Dantas Jaru,9,0,9,5,1,0,0,0,0,0,0,0,
09/08/2020 10:24:46,Vilhena,Hospital Adamastor Teixeira de Oliveira,20,6,14,10,5,0,0,0,0,0,0,0,
09/08/2020 10:25:43,Ji-Paraná,Hospital Municipal de Ji-Paraná,36,26,10,0,0,0,2,0,2,0,0,0,
09/08/2020 06:45:11,Porto Velho,Hospital Santa Marcelina,20,11,9,0,0,0,0,0,0,0,0,0,
09/08/2020 07:30:27,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,14,14,0,8,2,0,0,0,0,0,0,0,
09/08/2020 09:04:31,Ji-Paraná,Hospital Cândido Rondon Ji-Paraná - HCR,15,1,14,6,6,0,0,0,0,0,0,0,
09/08/2020 09:05:54,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,2,7,1,0,0,0,0,0,0,0,0,
09/08/2020 09:09:34,Porto Velho,Hospital Infantil Cosme e Damião – HICD,0,0,0,0,0,6,18,7,11,7,1,6,
09/08/2020 09:10:58,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,4,2,2,2,0,0,0,0,0,0,0,0,
09/08/2020 09:25:42,Porto Velho,Assistência Médica Intensiva – AMI,0,0,0,35,7,0,0,0,0,0,0,0,
09/08/2020 09:32:23,Porto Velho,Hospital de Campanha Zona Leste,0,0,0,20,3,0,0,0,0,0,0,0,
09/08/2020 10:07:47,Cacoal,Hospital Regional de Cacoal – HRC,20,10,10,28,28,1,3,0,3,1,0,1,
09/08/2020 10:10:42,Buritis,Hospital Regional de Buritis – HRB,12,8,4,0,0,0,0,0,0,0,0,0,
09/08/2020 10:14:02,Porto Velho,Cemetron,60,44,16,19,18,0,0,0,0,0,0,0,
09/08/2020 10:18:42,Porto Velho,Hospital do Amor,49,38,11,12,10,0,0,0,0,0,0,0,
09/08/2020 10:53:13,Porto Velho,Hospital de Campanha,30,30,0,20,17,0,0,0,0,0,0,0,
09/08/2020 10:55:11,Porto Velho,Hospital Regional de Extrema - HRE,5,2,3,0,0,0,0,0,0,0,0,0,
09/08/2020 10:56:01,Porto Velho,Hospital de Base Dr. Ary Pinheiro – HB,63,37,26,10,9,1,0,0,0,2,1,1,
09/08/2020 11:18:36,Porto Velho,Samar,50,19,31,20,18,0,0,0,0,0,0,0,
10/08/2020 08:44:47,Vilhena,Hospital Adamastor Teixeira de Oliveira,20,6,14,10,5,0,0,0,0,0,0,0,
10/08/2020 09:47:16,Jaru,Hospital Municipal Sandoval de Araujo Dantas Jaru,9,1,8,5,1,0,0,0,0,0,0,0,
10/08/2020 09:48:45,Jaru,Centro de Atendimento ao Covid-19 Jaru,8,3,5,0,0,0,0,0,0,0,0,0,
10/08/2020 10:55:40,Ariquemes,Centro de Afecções Respiratórias - Ariquemes,14,14,0,18,12,0,2,0,2,0,0,0,
10/08/2020 11:52:26,Ji-Paraná,Hospital Municipal de Ji-Paraná,36,32,4,0,0,0,2,0,2,0,0,0,
10/08/2020 07:30:33,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,14,14,0,8,2,0,0,0,0,0,0,0,
10/08/2020 07:44:50,Porto Velho,Hospital Infantil Cosme e Damião – HICD,0,0,0,0,0,6,18,7,11,7,1,6,
10/08/2020 08:03:21,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,2,7,1,0,0,0,0,0,0,0,0,
10/08/2020 08:22:28,Porto Velho,Hospital Santa Marcelina,20,10,10,0,0,0,0,0,0,0,0,0,
10/08/2020 08:25:50,Ji-Paraná,Hospital Cândido Rondon Ji-Paraná - HCR,15,2,13,6,6,0,0,0,0,0,0,0,
10/08/2020 08:54:41,Porto Velho,Samar,50,18,32,20,20,0,0,0,0,0,0,0,
10/08/2020 09:06:29,Porto Velho,Hospital Regional de Extrema - HRE,5,2,3,0,0,0,0,0,0,0,0,0,
10/08/2020 09:43:59,Porto Velho,Hospital de Campanha,30,30,0,20,14,0,0,0,0,0,0,0,
10/08/2020 10:10:00,Porto Velho,Hospital de Campanha Zona Leste,0,0,0,20,3,0,0,0,0,0,0,0,
10/08/2020 10:20:02,Porto Velho,Hospital do Amor,49,36,13,12,10,0,0,0,0,0,0,0,
10/08/2020 10:20:11,Porto Velho,Hospital de Base Dr. Ary Pinheiro – HB,63,34,29,10,8,0,0,0,0,2,2,0,
10/08/2020 10:37:11,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,4,1,3,2,1,0,0,0,0,0,0,0,
10/08/2020 10:43:05,Porto Velho,Cemetron,60,42,18,19,14,0,0,0,0,0,0,0,
10/08/2020 10:53:46,Buritis,Hospital Regional de Buritis – HRB,12,5,7,0,0,0,0,0,0,0,0,0,
10/08/2020 11:05:27,Porto Velho,Assistência Médica Intensiva – AMI,0,0,0,35,13,0,0,0,0,0,0,0,
10/08/2020 11:30:11,Cacoal,Hospital Regional de Cacoal – HRC,20,13,7,28,28,1,3,1,2,1,0,1,
11/08/2020 07:57:47,Vilhena,Hospital Adamastor Teixeira de Oliveira,20,10,10,10,3,0,0,0,0,0,0,0,
11/08/2020 09:54:41,Jaru,Centro de Atendimento ao Covid-19 Jaru,8,3,5,0,0,0,0,0,0,0,0,0,
11/08/2020 09:57:26,Jaru,Hospital Municipal Sandoval de Araujo Dantas Jaru,9,0,9,5,1,0,0,0,0,0,0,0,
11/08/2020 10:59:29,Ji-Paraná,Hospital Municipal de Ji-Paraná,36,26,10,0,0,0,2,0,2,0,0,0,
11/08/2020 11:21:07,Ariquemes,Centro de Afecções Respiratórias - Ariquemes,14,14,0,18,11,0,2,0,2,0,0,0,
11/08/2020 07:38:11,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,14,14,0,8,2,0,0,0,0,0,0,0,
11/08/2020 07:50:46,Porto Velho,Hospital Regional de Extrema - HRE,5,2,3,0,0,0,0,0,0,0,0,0,
11/08/2020 08:09:12,Porto Velho,Hospital Infantil Cosme e Damião – HICD,0,0,0,0,0,7,18,2,16,7,0,7,
11/08/2020 08:31:25,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,2,7,1,0,0,0,0,0,0,0,0,
11/08/2020 08:38:35,Ji-Paraná,Hospital Cândido Rondon Ji-Paraná - HCR,15,4,11,6,5,0,0,0,0,0,0,0,
11/08/2020 09:05:05,Porto Velho,Assistência Médica Intensiva – AMI,0,0,0,35,13,0,0,0,0,0,0,0,
11/08/2020 09:11:42,Porto Velho,Hospital de Base Dr. Ary Pinheiro – HB,63,31,32,10,8,0,0,0,0,2,2,0,
11/08/2020 09:11:47,Porto Velho,Hospital de Campanha Zona Leste,0,0,0,20,3,0,0,0,0,0,0,0,
11/08/2020 09:19:26,Buritis,Hospital Regional de Buritis – HRB,12,3,9,0,0,0,0,0,0,0,0,0,
11/08/2020 09:23:31,Porto Velho,Hospital de Campanha,30,29,1,20,13,0,0,0,0,0,0,0,
11/08/2020 09:41:30,Porto Velho,Hospital do Amor,49,41,8,12,11,0,0,0,0,0,0,0,
11/08/2020 09:58:52,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,4,2,2,2,2,0,0,0,0,0,0,0,
11/08/2020 10:03:23,Porto Velho,Samar,50,25,25,20,19,0,0,0,0,0,0,0,
11/08/2020 10:39:08,Porto Velho,Cemetron,60,38,22,19,16,0,0,0,0,0,0,0,
11/08/2020 11:32:33,Porto Velho,Hospital Santa Marcelina,20,10,10,0,0,0,0,0,0,0,0,0,
11/08/2020 11:45:40,Cacoal,Hospital Regional de Cacoal – HRC,20,11,9,28,28,1,3,1,2,1,0,1,
12/08/2020 08:35:35,Vilhena,Hospital Adamastor Teixeira de Oliveira,20,10,10,10,6,0,0,0,0,0,0,0,
12/08/2020 10:45:16,Ji-Paraná,Hospital Municipal de Ji-Paraná,36,28,8,0,0,0,2,0,2,0,0,0,
12/08/2020 10:47:27,Jaru,Hospital Municipal Sandoval de Araujo Dantas Jaru,9,0,9,5,1,0,0,0,0,0,0,0,
12/08/2020 10:49:53,Jaru,Centro de Atendimento ao Covid-19 Jaru,8,3,5,0,0,0,0,0,0,0,0,0,
12/08/2020 10:59:21,Ariquemes,Centro de Afecções Respiratórias - Ariquemes,14,14,0,18,9,0,2,0,2,0,0,0,
12/08/2020 07:25:36,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,14,14,0,8,2,0,0,0,0,0,0,0,
12/08/2020 08:25:20,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,4,3,1,2,1,0,0,0,0,0,0,0,
12/08/2020 08:39:41,Ji-Paraná,Hospital Cândido Rondon Ji-Paraná - HCR,15,3,12,6,6,0,0,0,0,0,0,0,
12/08/2020 08:43:39,Porto Velho,Hospital de Campanha,30,27,3,20,12,0,0,0,0,0,0,0,
12/08/2020 08:45:22,Porto Velho,Hospital Infantil Cosme e Damião – HICD,0,0,0,0,0,5,18,6,12,7,2,5,
12/08/2020 08:53:22,Buritis,Hospital Regional de Buritis – HRB,12,2,10,0,0,0,0,0,0,0,0,0,
12/08/2020 08:56:35,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,2,7,1,0,0,0,0,0,0,0,0,
12/08/2020 09:06:05,Porto Velho,Samar,30,18,12,20,18,0,0,0,0,0,0,0,
12/08/2020 09:09:18,Porto Velho,Hospital Santa Marcelina,20,7,13,0,0,0,0,0,0,0,0,0,
12/08/2020 09:20:01,Porto Velho,Hospital Regional de Extrema - HRE,5,4,1,0,0,0,0,0,0,0,0,0,
12/08/2020 09:43:34,Porto Velho,Hospital do Amor,49,35,14,12,11,0,0,0,0,0,0,0,
12/08/2020 09:52:29,Cacoal,Hospital Regional de Cacoal – HRC,20,12,8,28,28,1,3,1,2,1,0,1,
12/08/2020 10:02:25,Porto Velho,Cemetron,60,43,17,19,14,0,0,0,0,0,0,0,
12/08/2020 10:06:04,Porto Velho,Assistência Médica Intensiva – AMI,0,0,0,35,14,0,0,0,0,0,0,0,
12/08/2020 10:53:25,Porto Velho,Hospital de Campanha Zona Leste,0,0,0,20,4,0,0,0,0,0,0,0,
12/08/2020 11:40:49,Porto Velho,Hospital de Base Dr. Ary Pinheiro – HB,63,35,28,10,9,1,0,0,0,2,1,1,
13/08/2020 10:19:40,Ji-Paraná,Hospital Municipal de Ji-Paraná,36,30,6,0,0,0,2,0,2,0,0,0,
13/08/2020 10:34:04,Jaru,Hospital Municipal Sandoval de Araujo Dantas Jaru,9,1,8,5,1,0,0,0,0,0,0,0,
13/08/2020 10:35:27,Jaru,Centro de Atendimento ao Covid-19 Jaru,8,2,6,0,0,0,0,0,0,0,0,0,
13/08/2020 10:40:54,Ariquemes,Centro de Afecções Respiratórias - Ariquemes,14,10,4,18,8,0,2,0,2,0,0,0,
13/08/2020 11:27:05,Vilhena,Hospital Adamastor Teixeira de Olivveira,20,7,13,10,4,0,0,0,0,0,0,0,
13/08/2020 07:16:51,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,14,14,0,8,8,0,0,0,0,0,0,0,
13/08/2020 08:07:30,Porto Velho,Hospital Regional de Extrema - HRE,5,3,2,0,0,0,0,0,0,0,0,0,
13/08/2020 08:08:51,Porto Velho,Hospital Infantil Cosme e Damião – HICD,0,0,0,0,0,5,18,5,13,7,2,5,
13/08/2020 08:11:44,Ji-Paraná,Hospital Cândido Rondon Ji-Paraná - HCR,15,3,12,6,6,0,0,0,0,0,0,0,
13/08/2020 08:21:32,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,1,8,1,1,0,0,0,0,0,0,0,
13/08/2020 09:00:03,Porto Velho,Assistência Médica Intensiva – AMI,0,0,0,35,14,0,0,0,0,0,0,0,
13/08/2020 09:23:36,Porto Velho,Samar,30,17,13,20,18,0,0,0,0,0,0,0,
13/08/2020 09:29:44,Buritis,Hospital Regional de Buritis – HRB,12,2,10,0,0,0,0,0,0,0,0,0,
13/08/2020 09:38:00,Porto Velho,Hospital de Campanha,30,29,1,20,10,0,0,0,0,0,0,0,
13/08/2020 09:38:03,Porto Velho,Hospital Santa Marcelina,20,8,12,0,0,0,0,0,0,0,0,0,
13/08/2020 09:57:17,Porto Velho,Hospital do Amor,49,33,16,12,9,0,0,0,0,0,0,0,
13/08/2020 10:15:09,Porto Velho,Cemetron,60,41,19,19,13,0,0,0,0,0,0,0,
13/08/2020 10:22:45,Porto Velho,Hospital de Campanha Zona Leste,5,1,4,20,3,0,0,0,0,0,0,0,
13/08/2020 10:36:54,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,4,2,2,2,1,0,0,0,0,0,0,0,
13/08/2020 10:48:56,Cacoal,Hospital Regional de Cacoal – HRC,20,9,11,28,27,1,3,1,2,1,0,1,
13/08/2020 11:09:31,Porto Velho,Hospital de Base Dr. Ary Pinheiro – HB,63,33,30,10,9,1,0,0,0,2,1,1,
14/08/2020 09:18:43,Vilhena,Hospital Adamastor Teixeira de Oliveira,20,7,13,10,5,0,0,0,0,0,0,0,
14/08/2020 09:58:48,Ji-Paraná,Hospital Municipal de Ji-Paraná,36,29,7,0,0,0,2,0,2,0,0,0,
14/08/2020 10:06:54,Ariquemes,Centro de Afecções Respiratórias - Ariquemes,14,13,1,18,9,0,0,0,0,0,0,0,
14/08/2020 10:24:24,Jaru,Hospital Municipal Sandoval de Araujo Dantas Jaru,9,0,9,5,1,0,0,0,0,0,0,0,
14/08/2020 10:25:45,Jaru,Centro de Atendimento ao Covid-19 Jaru,8,2,6,0,0,0,0,0,0,0,0,0,
14/08/2020 07:29:32,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,14,14,0,8,1,0,0,0,0,0,0,0,
14/08/2020 07:47:43,Porto Velho,Hospital Infantil Cosme e Damião – HICD,0,0,0,0,0,4,18,8,10,7,3,4,
14/08/2020 07:53:04,Porto Velho,Assistência Médica Intensiva – AMI,0,0,0,35,12,0,0,0,0,0,0,0,
14/08/2020 08:12:49,Ji-Paraná,Hospital Cândido Rondon Ji-Paraná - HCR,15,2,13,6,6,0,0,0,0,0,0,0,
14/08/2020 08:31:21,Buritis,Hospital Regional de Buritis – HRB,12,2,10,0,0,0,0,0,0,0,0,0,
14/08/2020 08:45:33,Porto Velho,Samar,30,14,16,20,19,0,0,0,0,0,0,0,
14/08/2020 09:12:01,Porto Velho,Hospital do Amor,49,31,18,12,10,0,0,0,0,0,0,0,
14/08/2020 09:24:24,Porto Velho,Hospital de Campanha,30,29,1,20,14,0,0,0,0,0,0,0,
14/08/2020 09:36:46,Porto Velho,Cemetron,60,52,8,19,10,0,0,0,0,0,0,0,
14/08/2020 10:02:28,Porto Velho,Hospital Santa Marcelina,20,7,13,0,0,0,0,0,0,0,0,0,
14/08/2020 10:16:56,Cacoal,Hospital Regional de Cacoal – HRC,20,12,8,28,26,1,3,1,2,1,0,1,
